investor_id,investor_name,city,age_group,fund_name,monthly_investment,sip_start_date,sip_end_date,missed_payments,status,churn
INV00099,Rekha Tiwari,Ahmedabad,25-35,ICICI Pru Value Discovery Fund,6000,2021-11-01,,12,active,0
INV00100,Anjali Pillai,Vadodara,36-45,Kotak Emerging Equity Fund,2500,2022-08-01,,28,active,0
INV00101,Seema Kumar,Bhopal,25-35,Parag Parikh Flexi Cap Fund,2500,2022-04-01,2024-11-01,15,stopped,1
INV00102,Nitin Khanna,Indore,25-35,Kotak Emerging Equity Fund,4500,2019-01-01,,41,active,0
INV00103,Preeti Chaudhary,Mumbai,25-35,Axis Bluechip Fund,500,2021-08-01,,13,active,0
INV00104,Pooja Bansal,Kolkata,36-45,ICICI Pru Bluechip Fund,6500,2015-03-01,,48,active,0
INV00105,Dinesh Tiwari,Jaipur,36-45,Parag Parikh Flexi Cap Fund,5000,2016-11-01,2018-05-01,41,stopped,1
INV00106,Pooja Verma,Bangalore,25-35,ICICI Pru Bluechip Fund,2500,2019-02-01,2021-02-01,32,stopped,1
INV00107,Archana Kumar,Visakhapatnam,25-35,ICICI Pru Value Discovery Fund,8500,2022-06-01,,5,active,0
INV00108,Priya Dubey,Vadodara,36-45,ICICI Pru Value Discovery Fund,7500,2020-07-01,2023-11-01,14,stopped,1
INV00109,Arjun Bansal,Delhi,36-45,Canara Robeco Emerging Equities,5000,2018-08-01,2023-06-01,62,stopped,1
INV00110,Rohini Kapoor,Surat,25-35,Franklin India Prima Fund,1500,2016-11-01,,55,active,0
INV00111,Swati Bansal,Visakhapatnam,36-45,Aditya Birla SL Frontline Equity,1000,2015-09-01,,49,active,0
INV00112,Rekha Chopra,Hyderabad,46-55,ICICI Pru Value Discovery Fund,11500,2017-03-01,2023-09-01,47,stopped,1
INV00113,Karthik Nair,Bangalore,25-35,ICICI Pru Value Discovery Fund,4000,2020-11-01,,18,active,0
INV00114,Anjali Iyer,Pune,36-45,Nippon India Growth Fund,9500,2016-03-01,2018-05-01,46,stopped,1
INV00115,Ravi Mishra,Bhopal,46-55,Parag Parikh Flexi Cap Fund,2500,2015-11-01,2016-12-01,46,stopped,1
INV00116,Deepa Kumar,Bangalore,36-45,Axis Long Term Equity Fund,14500,2016-10-01,,33,active,0
INV00117,Anil Joshi,Ahmedabad,36-45,Nippon India Growth Fund,4500,2020-07-01,,23,active,0
INV00118,Rahul Yadav,Lucknow,36-45,Kotak Emerging Equity Fund,6500,2018-12-01,,41,active,0
INV00119,Shweta Sinha,Ahmedabad,25-35,Nippon India Growth Fund,1000,2018-07-01,2022-09-01,40,stopped,1
INV00120,Ashish Chauhan,Lucknow,25-35,SBI Bluechip Fund,5000,2021-07-01,,22,active,0
INV00121,Vivek Reddy,Chennai,25-35,ICICI Pru Bluechip Fund,6000,2018-07-01,2020-12-01,27,stopped,1
INV00122,Sneha Sharma,Chandigarh,46-55,ICICI Pru Value Discovery Fund,6000,2021-07-01,2022-12-01,18,stopped,1
INV00123,Ravi Bansal,Hyderabad,25-35,Mirae Asset Large Cap Fund,1500,2019-11-01,,30,active,0
INV00124,Sunita Chauhan,Bangalore,46-55,DSP Mid Cap Fund,23000,2016-11-01,,51,active,0
INV00125,Sanjay Sharma,Bhopal,36-45,Nippon India Small Cap Fund,2500,2021-08-01,,26,active,0
INV00126,Manoj Pandey,Chennai,25-35,Kotak Standard Multicap Fund,13000,2016-02-01,,49,active,0
INV00127,Rohini Joshi,Indore,25-35,Mirae Asset Emerging Bluechip Fund,5000,2018-09-01,2023-08-01,37,stopped,1
INV00128,Nandini Kumar,Nagpur,25-35,ICICI Pru Value Discovery Fund,5000,2019-10-01,,30,active,0
INV00129,Archana Kapoor,Lucknow,25-35,Kotak Emerging Equity Fund,10000,2018-03-01,2021-03-01,41,stopped,1
INV00130,Rahul Shukla,Pune,25-35,Nippon India Small Cap Fund,6000,2018-01-01,2022-12-01,44,stopped,1
INV00131,Amit Agarwal,Mumbai,36-45,Franklin India Prima Fund,9000,2017-02-01,2021-06-01,49,stopped,1
INV00132,Sunita Mehta,Pune,25-35,HDFC Flexi Cap Fund,6000,2021-06-01,,16,active,0
INV00133,Preeti Kumar,Kochi,55+,ICICI Pru Bluechip Fund,5500,2018-06-01,,26,active,0
INV00134,Ananya Chopra,Chandigarh,25-35,UTI Flexi Cap Fund,4500,2015-06-01,2016-09-01,59,stopped,1
INV00135,Gaurav Chaudhary,Kochi,46-55,Parag Parikh Flexi Cap Fund,6000,2020-09-01,2021-09-01,26,stopped,1
INV00136,Anil Mehta,Hyderabad,46-55,Canara Robeco Emerging Equities,4500,2017-12-01,,48,active,0
INV00137,Shweta Pillai,Vadodara,36-45,Aditya Birla SL Frontline Equity,18000,2020-08-01,,19,active,0
INV00138,Seema Nair,Kolkata,55+,Axis Long Term Equity Fund,1500,2022-11-01,,5,active,0
INV00139,Anil Sinha,Pune,46-55,Mirae Asset Large Cap Fund,5000,2015-11-01,2020-12-01,53,stopped,1
INV00140,Preeti Agarwal,Pune,36-45,DSP Mid Cap Fund,2000,2015-07-01,2024-04-01,72,stopped,1
INV00141,Nandini Agarwal,Visakhapatnam,36-45,ICICI Pru Value Discovery Fund,2000,2021-12-01,2024-01-01,16,stopped,1
INV00142,Rohini Khanna,Surat,36-45,Mirae Asset Large Cap Fund,7000,2017-06-01,,42,active,0
INV00143,Rohan Agarwal,Jaipur,25-35,Kotak Standard Multicap Fund,6000,2015-10-01,2021-09-01,49,stopped,1
INV00144,Kavya Kumar,Ahmedabad,25-35,Nippon India Small Cap Fund,4500,2018-05-01,2024-01-01,49,stopped,1
INV00145,Nandini Pillai,Bangalore,25-35,HDFC Flexi Cap Fund,4500,2019-10-01,2024-03-01,26,stopped,1
INV00146,Anjali Saxena,Nagpur,25-35,Axis Long Term Equity Fund,2500,2018-12-01,,26,active,0
INV00147,Dinesh Kapoor,Mumbai,46-55,Kotak Emerging Equity Fund,6000,2020-02-01,,31,active,0
INV00148,Nandini Nair,Ahmedabad,25-35,Nippon India Small Cap Fund,4000,2020-12-01,,17,active,0
INV00149,Seema Dubey,Indore,46-55,Parag Parikh Flexi Cap Fund,2500,2022-12-01,,14,active,0
INV00150,Rohini Kumar,Ahmedabad,36-45,Nippon India Growth Fund,6500,2019-09-01,2022-11-01,14,stopped,1
INV00151,Dinesh Tiwari,Lucknow,36-45,HDFC Mid-Cap Opportunities Fund,1500,2021-02-01,,23,active,0
INV00152,Gaurav Patel,Surat,46-55,HDFC Flexi Cap Fund,2000,2019-01-01,2020-12-01,34,stopped,1
INV00153,Rahul Dubey,Kolkata,55+,Axis Bluechip Fund,17500,2019-02-01,,22,active,0
INV00154,Pooja Iyer,Surat,25-35,Axis Bluechip Fund,3000,2015-05-01,2024-08-01,54,stopped,1
INV00155,Vijay Khanna,Kochi,36-45,Kotak Emerging Equity Fund,2500,2022-06-01,,13,active,0
INV00156,Rahul Khanna,Bhopal,46-55,Parag Parikh Flexi Cap Fund,5000,2017-02-01,,29,active,0
INV00157,Priya Singh,Mumbai,36-45,Parag Parikh Flexi Cap Fund,13500,2019-05-01,2021-02-01,25,stopped,1
INV00158,Kavya Pandey,Kolkata,25-35,Mirae Asset Emerging Bluechip Fund,4000,2017-09-01,2021-07-01,36,stopped,1
INV00159,Nitin Chauhan,Bhopal,55+,Mirae Asset Emerging Bluechip Fund,10000,2021-03-01,2024-07-01,21,stopped,1
INV00160,Nandini Tiwari,Delhi,36-45,Parag Parikh Flexi Cap Fund,2500,2016-03-01,2021-04-01,37,stopped,1
INV00161,Sneha Chauhan,Mumbai,25-35,ICICI Pru Value Discovery Fund,5500,2015-11-01,2020-05-01,43,stopped,1
INV00162,Amit Verma,Chandigarh,46-55,ICICI Pru Bluechip Fund,4500,2022-12-01,,5,active,0
INV00163,Meena Mehta,Hyderabad,46-55,Axis Long Term Equity Fund,4500,2015-08-01,2019-04-01,53,stopped,1
INV00164,Divya Chauhan,Jaipur,36-45,Kotak Emerging Equity Fund,7000,2016-07-01,,56,active,0
INV00165,Arjun Tiwari,Delhi,46-55,SBI Bluechip Fund,6000,2016-09-01,,43,active,0
INV00166,Swati Khanna,Ahmedabad,55+,HDFC Flexi Cap Fund,2500,2017-11-01,,28,active,0
INV00167,Gaurav Chauhan,Mumbai,55+,Franklin India Prima Fund,3000,2021-10-01,2024-09-01,29,stopped,1
INV00168,Rajesh Dubey,Vadodara,36-45,Aditya Birla SL Frontline Equity,2000,2015-02-01,,67,active,0
INV00169,Manish Rao,Bangalore,25-35,Canara Robeco Emerging Equities,9000,2022-05-01,2024-07-01,23,stopped,1
INV00170,Suresh Khanna,Ahmedabad,36-45,SBI Small Cap Fund,13000,2019-10-01,2020-06-01,26,stopped,1
INV00171,Geeta Sharma,Surat,36-45,Kotak Emerging Equity Fund,5000,2022-03-01,2023-05-01,30,stopped,1
INV00172,Ananya Tiwari,Lucknow,25-35,Kotak Standard Multicap Fund,6000,2015-01-01,,56,active,0
INV00173,Geeta Khanna,Chennai,46-55,ICICI Pru Bluechip Fund,6500,2015-10-01,,49,active,0
INV00174,Anjali Nair,Surat,25-35,Nippon India Growth Fund,12500,2016-10-01,2023-03-01,42,stopped,1
INV00175,Deepa Gupta,Nagpur,25-35,Nippon India Growth Fund,6000,2020-07-01,,27,active,0
INV00176,Ashish Sharma,Kochi,36-45,Franklin India Prima Fund,13500,2020-01-01,2021-09-01,36,stopped,1
INV00177,Archana Tiwari,Nagpur,36-45,Aditya Birla SL Frontline Equity,5500,2016-01-01,2024-09-01,63,stopped,1
INV00178,Sunita Menon,Pune,25-35,SBI Bluechip Fund,3500,2022-06-01,2024-09-01,18,stopped,1
INV00179,Anjali Sharma,Surat,46-55,Kotak Emerging Equity Fund,4000,2017-12-01,2019-07-01,43,stopped,1
INV00180,Rohini Yadav,Delhi,36-45,ICICI Pru Value Discovery Fund,1500,2015-12-01,,50,active,0
INV00181,Suresh Chaudhary,Vadodara,25-35,ICICI Pru Bluechip Fund,6500,2021-06-01,,18,active,0
INV00182,Sunita Nair,Lucknow,25-35,Canara Robeco Emerging Equities,20500,2016-10-01,2022-10-01,49,stopped,1
INV00183,Lakshmi Nair,Delhi,46-55,Axis Long Term Equity Fund,8000,2020-01-01,,33,active,0
INV00184,Gaurav Khanna,Nagpur,36-45,Canara Robeco Emerging Equities,2500,2017-05-01,2019-06-01,57,stopped,1
INV00185,Yogesh Iyer,Delhi,46-55,ICICI Pru Value Discovery Fund,3000,2017-05-01,,37,active,0
INV00186,Vijay Kumar,Bhopal,36-45,ICICI Pru Bluechip Fund,13000,2018-01-01,2022-12-01,46,stopped,1
INV00187,Kuldeep Chauhan,Kochi,55+,Parag Parikh Flexi Cap Fund,19500,2022-01-01,,6,active,0
INV00188,Pranav Nair,Surat,36-45,ICICI Pru Value Discovery Fund,6000,2016-02-01,2024-09-01,38,stopped,1
INV00189,Nandini Gupta,Surat,25-35,Mirae Asset Emerging Bluechip Fund,5000,2020-05-01,2020-11-01,28,stopped,1
INV00190,Deepa Saxena,Kochi,36-45,Parag Parikh Flexi Cap Fund,4500,2019-03-01,,26,active,0
INV00191,Archana Joshi,Ahmedabad,25-35,Mirae Asset Large Cap Fund,6000,2021-08-01,,19,active,0
INV00192,Mala Tiwari,Surat,46-55,Axis Bluechip Fund,44500,2017-11-01,,26,active,0
INV00193,Amit Shukla,Kolkata,25-35,Nippon India Small Cap Fund,2500,2021-03-01,,26,active,0
INV00194,Rajesh Shukla,Bhopal,36-45,Mirae Asset Emerging Bluechip Fund,1500,2017-06-01,,47,active,0
INV00195,Neha Pillai,Pune,25-35,Canara Robeco Emerging Equities,5500,2021-05-01,2024-08-01,33,stopped,1
INV00196,Pooja Chopra,Bangalore,36-45,Axis Long Term Equity Fund,2000,2016-05-01,2020-03-01,59,stopped,1
INV00197,Sneha Kumar,Bangalore,36-45,SBI Bluechip Fund,1500,2019-11-01,2021-01-01,30,stopped,1
INV00198,Shweta Nair,Delhi,25-35,ICICI Pru Bluechip Fund,5500,2015-03-01,2020-01-01,46,stopped,1
INV00199,Nandini Joshi,Visakhapatnam,55+,ICICI Pru Value Discovery Fund,11000,2017-05-01,,36,active,0
INV00200,Vijay Pandey,Chandigarh,36-45,UTI Flexi Cap Fund,2500,2020-07-01,,20,active,0
INV00201,Preeti Pillai,Lucknow,36-45,Nippon India Small Cap Fund,8000,2020-12-01,2023-09-01,23,stopped,1
INV00202,Kuldeep Gupta,Ahmedabad,55+,Axis Long Term Equity Fund,5000,2019-02-01,,36,active,0
INV00203,Priya Bansal,Pune,25-35,Aditya Birla SL Frontline Equity,3500,2017-07-01,,45,active,0
INV00204,Pranav Menon,Hyderabad,36-45,Aditya Birla SL Frontline Equity,2000,2016-01-01,2024-08-01,52,stopped,1
INV00205,Neha Kumar,Kochi,36-45,SBI Bluechip Fund,4500,2020-02-01,2023-04-01,22,stopped,1
INV00206,Anil Yadav,Vadodara,25-35,Nippon India Growth Fund,5500,2021-08-01,,20,active,0
INV00207,Archana Mehta,Hyderabad,25-35,SBI Bluechip Fund,4000,2022-10-01,,12,active,0
INV00208,Ananya Mishra,Bangalore,36-45,SBI Small Cap Fund,4500,2017-11-01,,39,active,0
INV00209,Rekha Menon,Ahmedabad,25-35,Axis Bluechip Fund,19500,2019-03-01,2022-05-01,37,stopped,1
INV00210,Rahul Shukla,Pune,46-55,Aditya Birla SL Frontline Equity,3500,2019-09-01,,32,active,0
INV00211,Meena Menon,Indore,25-35,Aditya Birla SL Frontline Equity,4500,2017-08-01,,26,active,0
INV00212,Amit Nair,Delhi,46-55,UTI Flexi Cap Fund,9500,2015-05-01,,39,active,0
INV00213,Neha Khanna,Delhi,25-35,Mirae Asset Emerging Bluechip Fund,9000,2021-06-01,,16,active,0
INV00214,Nitin Gupta,Mumbai,36-45,Nippon India Small Cap Fund,2000,2021-09-01,2022-07-01,13,stopped,1
INV00215,Kavya Pandey,Chennai,25-35,Kotak Standard Multicap Fund,1500,2018-06-01,,48,active,0
INV00216,Vikram Patel,Bangalore,25-35,Canara Robeco Emerging Equities,3000,2016-02-01,2020-02-01,71,stopped,1
INV00217,Sunil Menon,Nagpur,36-45,Kotak Emerging Equity Fund,11500,2022-02-01,,13,active,0
INV00218,Suresh Tiwari,Kochi,36-45,DSP Mid Cap Fund,3000,2018-11-01,,27,active,0
INV00219,Lakshmi Kapoor,Mumbai,55+,Mirae Asset Large Cap Fund,7500,2018-04-01,2022-04-01,39,stopped,1
INV00220,Rajesh Saxena,Surat,46-55,ICICI Pru Bluechip Fund,25000,2021-12-01,,10,active,0
INV00221,Arjun Malhotra,Jaipur,55+,Mirae Asset Emerging Bluechip Fund,7000,2015-05-01,,40,active,0
INV00222,Manoj Singh,Bangalore,25-35,Canara Robeco Emerging Equities,13000,2017-01-01,2018-07-01,64,stopped,1
INV00223,Ashish Khanna,Visakhapatnam,36-45,Parag Parikh Flexi Cap Fund,2500,2022-05-01,,14,active,0
INV00224,Harish Bansal,Nagpur,25-35,SBI Bluechip Fund,6500,2015-06-01,2021-03-01,51,stopped,1
INV00225,Arjun Malhotra,Lucknow,36-45,Axis Bluechip Fund,4000,2016-01-01,,40,active,0
INV00226,Mala Tiwari,Nagpur,25-35,ICICI Pru Value Discovery Fund,2500,2018-04-01,2020-09-01,30,stopped,1
INV00227,Lata Chaudhary,Delhi,46-55,Nippon India Small Cap Fund,8000,2021-10-01,2023-09-01,28,stopped,1
INV00228,Vijay Sharma,Pune,25-35,Mirae Asset Emerging Bluechip Fund,4500,2018-01-01,2023-06-01,38,stopped,1
INV00229,Puja Bansal,Lucknow,36-45,ICICI Pru Value Discovery Fund,13000,2019-08-01,,24,active,0
INV00230,Meena Chopra,Mumbai,36-45,ICICI Pru Value Discovery Fund,10500,2017-01-01,,41,active,0
INV00231,Suresh Singh,Pune,36-45,SBI Small Cap Fund,15000,2017-01-01,2020-01-01,55,stopped,1
INV00232,Mala Iyer,Visakhapatnam,36-45,Aditya Birla SL Frontline Equity,15000,2017-01-01,2021-03-01,47,stopped,1
